"code" "movie_title" "point"
"450" "10751" "블루 라군" "9.00"
"451" "36843" "러브 액츄얼리" "9.00"
"452" "159516" "인비저블 게스트" "9.00"
"453" "66158" "어거스트 러쉬" "9.00"
"454" "69917" "울학교 이티" "9.00"
"455" "17626" "미션 임파서블" "9.00"
"456" "17524" "불멸의 연인" "8.99"
"457" "10504" "양들의 침묵" "8.99"
"458" "10489" "미져리" "8.99"
"459" "149049" "명탐정 코난: 순흑의 악몽" "8.99"
"460" "24926" "록 스탁 앤 투 스모킹 배럴즈" "8.99"
"461" "146560" "싱 스트리트" "8.99"
"462" "27109" "소년은 울지 않는다" "8.99"
"463" "44020" "골!" "8.99"
"464" "109778" "끝까지 간다" "8.99"
"465" "65998" "원스" "8.99"
"466" "107924" "수상한 그녀" "8.99"
"467" "73339" "슈퍼배드" "8.99"
"468" "102272" "연평해전" "8.99"
"469" "125417" "파도가 지나간 자리" "8.99"
"470" "68563" "마법에 걸린 사랑" "8.99"
"471" "146512" "스플릿" "8.99"
"472" "71760" "청설" "8.99"
"473" "13480" "얼라이브" "8.99"
"474" "70427" "새미의 어드벤쳐" "8.98"
"475" "18050" "마녀 배달부 키키" "8.98"
"476" "77117" "해피 피트 2" "8.98"
"477" "135806" "극장판 사이코패스" "8.98"
"478" "10111" "영웅본색 2" "8.98"
"479" "121788" "내부자들" "8.98"
"480" "63445" "우리 학교" "8.98"
"481" "101901" "변호인" "8.98"
"482" "91101" "서칭 포 슈가맨" "8.98"
"483" "17764" "솔드 아웃" "8.97"
"484" "129781" "GROW: 인피니트의 리얼 청춘 라이프" "8.97"
"485" "142241" "다음 침공은 어디?" "8.97"
"486" "61848" "태양의 노래" "8.97"
"487" "121048" "암살" "8.97"
"488" "82428" "소스 코드" "8.97"
"489" "37409" "굿바이 레닌" "8.97"
"490" "140731" "분노의 질주: 더 익스트림" "8.97"
"491" "34362" "연애소설" "8.97"
"492" "50785" "사랑 후에 남겨진 것들" "8.97"
"493" "159408" "극장판 소드 아트 온라인 -오디널 스케일-" "8.97"
"494" "34566" "루키" "8.97"
"495" "134772" "눈길" "8.96"
"496" "39568" "스노우 워커" "8.96"
"497" "74632" "분노의 질주: 언리미티드" "8.96"
"498" "118917" "인턴" "8.96"
"499" "68934" "우린 액션배우다" "8.96"
"500" "74565" "스타트렉 다크니스" "8.96"
"501" "123433" "타마코 러브 스토리" "8.96"
"502" "18318" "볼케이노" "8.96"
"503" "36799" "카" "8.96"
"504" "10033" "레이더스" "8.96"
"505" "93236" "초콜렛 도넛" "8.96"
"506" "144938" "씽" "8.96"
"507" "38097" "킹콩" "8.96"
"508" "39809" "밀리언 달러 베이비" "8.96"
"509" "76455" "리오" "8.95"
"510" "24157" "파니 핑크" "8.95"
"511" "45130" "앨빈과 슈퍼밴드" "8.95"
"512" "42809" "마음이..." "8.95"
"513" "64129" "디스트릭트 9" "8.95"
"514" "10029" "죠스" "8.95"
"515" "38615" "명탐정 코난: 은빛 날개의 마술사" "8.95"
"516" "62390" "비투스" "8.95"
"517" "146214" "원피스 필름 골드" "8.95"
"518" "31271" "미이라 2" "8.95"
"519" "113315" "그날 본 꽃의 이름을 우리는 아직 모른다" "8.95"
"520" "109466" "극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성" "8.95"
"521" "60530" "미스 리틀 선샤인" "8.95"
"522" "68498" "피아노의 숲" "8.95"
"523" "16906" "서편제" "8.95"
"524" "10330" "스카페이스" "8.94"
"525" "39524" "스윙걸즈" "8.94"
"526" "46985" "그해 여름" "8.94"
"527" "10741" "연인" "8.94"
"528" "17260" "당신이 잠든 사이에" "8.94"
"529" "38738" "본 슈프리머시" "8.94"
"530" "96968" "극장판 나루토 질풍전: 로드 투 닌자" "8.94"
"531" "82323" "엘리트 스쿼드 2" "8.94"
"532" "115534" "5일의 마중" "8.94"
"533" "45298" "더 리더: 책 읽어주는 남자" "8.94"
"534" "50598" "A-특공대" "8.93"
"535" "150117" "극장판 유희왕 더 다크 사이드 오브 디멘션즈" "8.93"
"536" "51049" "여행자" "8.93"
"537" "162173" "노무현입니다" "8.93"
"538" "33422" "존 큐" "8.93"
"539" "107748" "극장판 슈타인즈 게이트: 부하영역의 데자뷰" "8.93"
"540" "10238" "레인 맨" "8.93"
"541" "146944" "극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드" "8.93"
"542" "81890" "진링의 13소녀" "8.93"
"543" "31524" "파인딩 포레스터" "8.93"
"544" "76048" "퍼펙트 게임" "8.93"
"545" "57278" "가부와 메이 이야기" "8.93"
"546" "72393" "꼬마 니콜라" "8.93"
"547" "127398" "가디언즈 오브 갤럭시 VOL. 2" "8.93"
"548" "146488" "태양 아래" "8.93"
"549" "76020" "드래곤 길들이기 2" "8.93"
"550" "130989" "룸" "8.93"
"551" "165025" "빅풋 주니어" "8.92"
"552" "90589" "엣지 오브 투모로우" "8.92"
"553" "36590" "시카고" "8.92"
"554" "98276" "굿모닝 맨하탄" "8.92"
"555" "92038" "더 데이" "8.92"
"556" "10532" "불가사리" "8.92"
"557" "87571" "부러진 화살" "8.92"
"558" "38907" "투 브라더스" "8.92"
"559" "138601" "여배우는 오늘도" "8.92"
"560" "73018" "내니 맥피 2 - 유모와 마법소동" "8.91"
"561" "64080" "다만, 널 사랑하고 있어" "8.91"
"562" "40133" "다이 하드 4.0" "8.91"
"563" "51787" "대니쉬 걸" "8.91"
"564" "10262" "델마와 루이스" "8.91"
"565" "128212" "쿼바디스" "8.91"
"566" "39405" "웰컴 투 동막골" "8.91"
"567" "44728" "오만과 편견" "8.91"
"568" "70562" "시" "8.91"
"569" "43678" "캐리비안의 해적 - 망자의 함" "8.91"
"570" "14397" "드라큐라" "8.91"
"571" "10242" "더티 댄싱" "8.91"
"572" "140803" "하이큐!! 끝과 시작" "8.91"
"573" "97652" "뜨거운 안녕" "8.91"
"574" "96327" "캡틴 아메리카: 윈터 솔져" "8.91"
"575" "38274" "더티 댄싱 - 하바나 나이트" "8.90"
"576" "26544" "스왈로우테일 버터플라이" "8.90"
"577" "129406" "미쓰 와이프" "8.90"
"578" "10128" "디어 헌터" "8.90"
"579" "82239" "디태치먼트" "8.90"
"580" "17255" "매디슨 카운티의 다리" "8.90"
"581" "96054" "슈퍼노바 지구 탈출기" "8.90"
"582" "16792" "흐르는 강물처럼" "8.90"
"583" "143456" "브리짓 존스의 베이비" "8.90"
"584" "64354" "행복을 찾아서" "8.90"
"585" "17967" "트레인스포팅" "8.90"
"586" "122131" "서프러제트" "8.90"
"587" "10086" "미션" "8.90"
"588" "18682" "스타쉽 트루퍼스" "8.90"
"589" "162471" "더 플랜" "8.90"
"590" "14584" "팀 버튼의 크리스마스 악몽" "8.89"
"591" "36344" "지구를 지켜라!" "8.89"
"592" "18597" "비트" "8.89"
"593" "27260" "파이트 클럽" "8.89"
"594" "62556" "록키 발보아" "8.89"
"595" "94194" "페어리테일: 봉황의 무녀" "8.89"
"596" "70637" "앨빈과 슈퍼밴드 2" "8.89"
